Altium Designer Pick and Place Locations
C:\Users\kienlt44\Desktop\Project VinMotion\VinMotion\VinMotion\Low_level_NXP 3\Low_level_NXP\Low_level_NXP\#NAME_.csv

========================================================================================================================
File Design Information:

Date:       29/09/25
Time:       16:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R1010","RMCF0805ZT0R00","TopLayer","RES0805","28.1129","75.9175","270","RES 0R 1/8W 0% 0805 SMD"
"CON8000","JXD0-0015NL","TopLayer","RJ45","96.1771","65.8971","90","1 Port RJ45 Through Hole 10/100/1000 Base-T, AutoMDIX"
"U6000","LAN9646-I/MXX","TopLayer","132-VFQFN_Dual_Rows,_Exposed_Pad","66.0455","64.4925","270","6-PORT GIGE MANAGED SWITCH WITH"
"L1000","NRS5040T4R7NMGKV","TopLayer","INDP4949X20N","9.1391","90.9543","270","FIXED IND 4.7UH 3.1A 37.7 MOHM"
"Y8000","NX3225SA-25.000M-STD-CRS-2","TopLayer","NDK_NX3225SA-25.000M-STD-CRS-2_R","81.5291","38.9351","315","CRYSTAL 25.0000MHZ 8PF SMD"
"U8000","KSZ9131RNXI-TR","TopLayer","QFN50P700X700X90_HS-49N","79.5733","47.6219","180","IC TXRX FULL/HALF 4/4 48QFN"
"U7004","MX25L25645GM2I-08G","BottomLayer","SOIC127P800X175-8N","43.8665","26.4341","180","IC FLASH 256MBIT SPI 120MHZ 8SOP"
"U7003","CH340E","TopLayer","CH340E","39.3014","99.1237","0","USB TO UART IC"
"U7002","BMI270","TopLayer","BIN270","69.2668","36.8563","0","IMU ACCEL/GYRO I2C/SPI 14LGA"
"U4007","TJA1057GT/3J","TopLayer","SOIC127P590X175-8N","86.5075","20.4767","270","1/1 Transceiver Half CANbus 8-SO"
"U4006","TJA1057GT/3J","TopLayer","SOIC127P590X175-8N","96.0833","20.4767","270","1/1 Transceiver Half CANbus 8-SO"
"U2002","PAM2319AYAA","TopLayer","12-WFDFN_Exposed_Pad","41.4007","64.1813","270","IC REG BUCK ADJ 1A/2A DL 12WDFN"
"R8037","RK73H1ETTP1001F","TopLayer","RES0402","72.5193","43.8119","0","RES 1K OHM 1% 1/10W 0402"
"R8036","ERJ2GEJ103X","TopLayer","RES0402","79.0907","41.5585","270","RES SMD 10K OHM 5% 1/10W 0402"
"R8035","RK73H1ETTP1001F","TopLayer","RES0402","68.3283","46.1487","0","RES 1K OHM 1% 1/10W 0402"
"R8034","RK73H1ETTP1001F","TopLayer","RES0402","68.3283","47.4441","0","RES 1K OHM 1% 1/10W 0402"
"R8033","RK73H1ETTP1001F","TopLayer","RES0402","68.3283","48.5025","0","RES 1K OHM 1% 1/10W 0402"
"R8032","RK73H1ETTP1001F","TopLayer","RES0402","68.3283","49.7555","0","RES 1K OHM 1% 1/10W 0402"
"R8031","RK73H1ETTP1001F","BottomLayer","RES0402","72.5968","52.9233","90","RES 1K OHM 1% 1/10W 0402"
"R8030","RK73H1ETTP1001F","BottomLayer","RES0402","73.8668","52.9233","90","RES 1K OHM 1% 1/10W 0402"
"R8029","RK73H1ETTP1001F","BottomLayer","RES0402","75.1029","52.9233","90","RES 1K OHM 1% 1/10W 0402"
"R8028","RK73H1ETTP1001F","BottomLayer","RES0402","71.3607","52.9233","90","RES 1K OHM 1% 1/10W 0402"
"R8027","ERJ2GEJ103X","TopLayer","RES0402","72.5193","44.8025","180","RES SMD 10K OHM 5% 1/10W 0402"
"R8026","ERJ2GEJ103X","BottomLayer","RES0402","72.5968","55.0243","90","RES SMD 10K OHM 5% 1/10W 0402"
"R8025","ERJ2GEJ103X","BottomLayer","RES0402","73.8668","55.0243","90","RES SMD 10K OHM 5% 1/10W 0402"
"R8024","RMCF0402FT100K","BottomLayer","RES0402","75.1029","55.0243","90","RES 100kR 1/16W 1% 0402 SMD"
"R8023","ERJ2GEJ103X","BottomLayer","RES0402","71.3607","55.0243","90","RES SMD 10K OHM 5% 1/10W 0402"
"R8022","ERJ2GEJ103X","TopLayer","RES0402","70.3967","46.1487","0","RES SMD 10K OHM 5% 1/10W 0402"
"R8021","ERJ2GEJ103X","TopLayer","RES0402","70.3967","47.4441","0","RES SMD 10K OHM 5% 1/10W 0402"
"R8020","ERJ2GEJ103X","TopLayer","RES0402","70.3967","48.5025","0","RES SMD 10K OHM 5% 1/10W 0402"
"R8019","ERJ2GEJ103X","TopLayer","RES0402","70.3967","49.7555","0","RES SMD 10K OHM 5% 1/10W 0402"
"R8018","RMCF0402FT10K0","TopLayer","RES0402","66.9495","41.3299","270","RES 10K OHM 1% 1/16W 0402"
"R8017","CRCW0402220RFKED","TopLayer","RES0402","103.3731","54.5815","180","RES SMD 220 OHM 1% 1/10W 0402"
"R8016","CRCW0402220RFKED","TopLayer","RES0402","103.3731","55.6483","180","RES SMD 220 OHM 1% 1/10W 0402"
"R8015","CRCW040222R0JNED","TopLayer","RES0402","75.4585","41.5585","90","RES SMD 22 OHM 5% 1/16W 0402"
"R8014","CRCW040222R0JNED","TopLayer","RES0402","72.5193","41.7037","0","RES SMD 22 OHM 5% 1/16W 0402"
"R8013","RMCF0402ZT0R00","TopLayer","RES0402","76.7285","41.5585","90","RES 0R 1/16W 1% 0402 SMD"
"R8012","CRCW04026K04FKEDC","TopLayer","RES0402","83.1293","41.6855","90","RES 6.04K OHM 1% 1/16W 0402"
"R8011","CRCW040222R0JNED","TopLayer","RES0402","66.2891","49.7555","0","RES SMD 22 OHM 5% 1/16W 0402"
"R8010","CRCW040222R0JNED","TopLayer","RES0402","66.2891","48.5025","0","RES SMD 22 OHM 5% 1/16W 0402"
"R8009","CRCW040222R0JNED","TopLayer","RES0402","66.2891","47.4441","0","RES SMD 22 OHM 5% 1/16W 0402"
"R8008","CRCW040222R0JNED","TopLayer","RES0402","66.2891","46.1487","0","RES SMD 22 OHM 5% 1/16W 0402"
"R8007","CRCW040222R0JNED","TopLayer","RES0402","72.5193","45.8439","0","RES SMD 22 OHM 5% 1/16W 0402"
"R8006","CRCW040222R0JNED","TopLayer","RES0402","72.5121","42.7705","0","RES SMD 22 OHM 5% 1/16W 0402"
"R8005","CRCW040222R0JNED","TopLayer","RES0402","76.3983","55.3435","270","RES SMD 22 OHM 5% 1/16W 0402"
"R8004","CRCW040222R0JNED","TopLayer","RES0402","77.4143","55.3435","270","RES SMD 22 OHM 5% 1/16W 0402"
"R8003","CRCW040222R0JNED","TopLayer","RES0402","78.4303","55.3435","270","RES SMD 22 OHM 5% 1/16W 0402"
"R8002","CRCW040222R0JNED","TopLayer","RES0402","79.4463","55.3435","270","RES SMD 22 OHM 5% 1/16W 0402"
"R8001","CRCW040222R0JNED","TopLayer","RES0402","72.5193","50.9239","0","RES SMD 22 OHM 5% 1/16W 0402"
"R8000","CRCW040222R0JNED","TopLayer","RES0402","72.5193","51.9399","0","RES SMD 22 OHM 5% 1/16W 0402"
"R7024","ERJ2GEJ103X","BottomLayer","RES0402","37.4855","27.0225","180","RES SMD 10K OHM 5% 1/10W 0402"
"R6032","RMCF0402FT10K0","TopLayer","RES0402","75.2625","64.5891","180","RES 10K OHM 1% 1/16W 0402"
"R6031","RMCF0402FT10K0","TopLayer","RES0402","65.2835","53.7229","90","RES 10K OHM 1% 1/16W 0402"
"R6030","CRCW0402220RFKED","BottomLayer","RES0402","56.5101","75.5111","270","RES SMD 220 OHM 1% 1/10W 0402"
"R6029","RMCF0402FT10K0","TopLayer","RES0402","75.2625","63.5477","0","RES 10K OHM 1% 1/16W 0402"
"R6028","RMCF0402FT10K0","TopLayer","RES0402","64.2167","53.7229","270","RES 10K OHM 1% 1/16W 0402"
"R6027","CRCW0402220RFKED","BottomLayer","RES0402","49.5251","75.5111","270","RES SMD 220 OHM 1% 1/10W 0402"
"R6026","CRCW0402220RFKED","BottomLayer","RES0402","70.4039","75.5111","270","RES SMD 220 OHM 1% 1/10W 0402"
"R6025","CRCW04026K04FKEDC","TopLayer","RES0402","72.5375","71.8281","90","RES 6.04K OHM 1% 1/16W 0402"
"R6024","CRCW0402220RFKED","BottomLayer","RES0402","63.4951","75.5111","270","RES SMD 220 OHM 1% 1/10W 0402"
"R6023","RMCF0402FT10K0","TopLayer","RES0402","69.9317","56.8979","90","RES 10K OHM 1% 1/16W 0402"
"R4015","RMCF1206FT60R4","TopLayer","RES1206","84.2469","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4014","RMCF1206FT60R4","TopLayer","RES1206","93.7719","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4013","RMCF1206FT60R4","TopLayer","RES1206","88.8951","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4012","RMCF1206FT60R4","TopLayer","RES1206","98.4201","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R3004","RMCF0402FT10K0","TopLayer","RES0402","4.5925","71.9805","90","RES 10K OHM 1% 1/16W 0402"
"R1028","RMCF0402FT10K0","TopLayer","RES0402","18.5498","57.2739","90","RES 10K OHM 1% 1/16W 0402"
"R1027","RMCF0402FT10K0","TopLayer","RES0402","22.2455","59.8139","90","RES 10K OHM 1% 1/16W 0402"
"R1024","AC0402FR-0751KL","TopLayer","RES0402","21.1787","57.7565","270","RES SMD 51K OHM 1% 1/16W 0402"
"R1019","MCR01MZPF5101","TopLayer","RES0402","18.0545","59.8139","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R1018","MCR01MZPF5101","TopLayer","RES0402","16.0987","59.8139","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R1017","RC0402FR-071K5L","TopLayer","RES0402","21.1787","59.8139","270","RES 1.5K OHM 1% 1/16W 0402"
"R1016","MCR01MZPF5101","TopLayer","RES0402","17.3941","57.2739","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R1015","RMCF0402FT10K0","TopLayer","RES0402","19.7055","57.2739","270","RES 10K OHM 1% 1/16W 0402"
"R1014","RMCF0402ZT0R00","TopLayer","RES0402","27.1985","63.5803","90","RES 0R 1/16W 1% 0402 SMD"
"R1013","RMCF0402ZT0R00","TopLayer","RES0402","26.1825","63.5803","90","RES 0R 1/16W 1% 0402 SMD"
"R1012","RMCF0402ZT0R00","TopLayer","RES0402","25.1665","63.5803","90","RES 0R 1/16W 1% 0402 SMD"
"R1011","RMCF0402ZT0R00","TopLayer","RES0402","24.1505","63.5803","90","RES 0R 1/16W 1% 0402 SMD"
"R1009","RMCF0402ZT0R00","TopLayer","RES0402","9.0883","76.9589","0","RES 0R 1/16W 1% 0402 SMD"
"R1008","RMCF0402ZT0R00","TopLayer","RES0402","14.9811","74.6221","0","RES 0R 1/16W 1% 0402 SMD"
"R1007","RMCF0603FG100K","TopLayer","RES0603","30.5259","63.8525","90","RES 100K OHM 1% 1/10W 0603"
"R1006","RMCF0603FG100K","TopLayer","RES0603","31.8721","63.8525","90","RES 100K OHM 1% 1/10W 0603"
"R1005","ESR03EZPJ512","TopLayer","RES0603","11.6791","75.9429","90","RES 5.1K OHM 5% 1/4W 0603"
"Q3000","SQA410EJ-T1_GE3","TopLayer","PowerPAK®_SC-70-6","40.5717","45.5509","0","MOSFET N-CH 20V 7.8A PPAK SC70-6"
"L2002","74438356012","TopLayer","INDP414121","45.7665","61.8459","0","FIXED IND 1.2UH 5.8A 18 MOHM SMD"
"L2001","74438356022","TopLayer","INDP414121","36.2149","65.0971","180","FIXED IND 2.2UH 4.7A 35 MOHM SMD"
"L2000","74438356022","TopLayer","INDP414121","35.7837","77.0357","270","FIXED IND 2.2UH 4.7A 35 MOHM SMD"
"L1003","TFM201610ALMA1R0MTAA","TopLayer","INDP2016X12N","28.6463","68.2467","0","FIXED IND 1UH 3.1A 60 MOHM SMD"
"L1002","XAL5050-103MEC","TopLayer","INDC548X528X510","22.0855","77.8867","0","FIXED IND 10UH 4.9A 45MOHM SM"
"L1001","SRP1050WA-220M","TopLayer","INDP11X10X6","35.3315","91.2845","0","IND POWER HC 22UH 6A SHLD"
"J7000","61300411121","TopLayer","WURTH_61300411121_R","107.3901","82.1021","90","CONN HEADER VERT 4POS 2.54MM"
"J6000","0826-1X4T-43-F","TopLayer","CONN_JACK_4PORT_PCB","73.9351","90.3296","0","CONN JACK 4PORT PCB"
"FB8001","BLM18KG121TH1D","BottomLayer","FB0603","84.5517","50.1619","90","FERRITE BEAD 120 OHM 0603 1LN"
"FB8000","BLM18KG121TH1D","TopLayer","FB0603","84.6279","53.0321","90","FERRITE BEAD 120 OHM 0603 1LN"
"FB6005","BLM18KG121TH1D","BottomLayer","FB0603","68.8771","58.7775","0","FERRITE BEAD 120 OHM 0603 1LN"
"FB6004","BLM18KG121TH1D","TopLayer","FB0603","69.3371","53.3623","270","FERRITE BEAD 120 OHM 0603 1LN"
"D7003","MBRA340T3G","BottomLayer","ON_SMA_NRVBA340T3G_N","33.4723","99.9205","180","DIODE SCHOTTKY 40V 3A SMA"
"D4007","PESD2CAN,215","TopLayer","NEXPERIA_PESD2CAN,215_N","86.6345","11.9603","90","DIODE TVS 24VWM 41VC SOT-23-3"
"D4006","PESD2CAN,215","TopLayer","NEXPERIA_PESD2CAN,215_N","96.2103","11.9603","90","DIODE TVS 24VWM 41VC SOT-23-3"
"D1002","1.5SMC75CA","BottomLayer","LITTLEFUSE_DO-214AB_(SMCJ)_TPSMD18CA_N","12.3903","101.8763","0","TVS DIODE 64.1VWM 103V DO214AB"
"D1001","SK810L-TP","TopLayer","SMC","24.3037","91.8941","180","DIODE SCHOTTKY 100V 8A DO214AB"
"CON1000","61300211121","TopLayer","61300211121-Footprint-1","31.5165","79.0417","270","CONN HEADER VERT 2POS 2.54MM"
"CN7003","12402012E212A","TopLayer","USB_TYPE_C","37.7543","104.9318","180","CONN RCP USB2.0 TYP C 24P SMD RA"
"CN4007","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","86.6739","4.9961","180","CONN HEADER SMD R/A 2POS 2MM"
"CN4003","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","48.2705","4.9961","180","CONN HEADER SMD R/A 2POS 2MM"
"CN3000","FTSH-105-01-L-DV-K-TR","TopLayer","SMTC-FTSH-105-01-L-DV-K_R","4.1099","77.1621","180","CONN HEADER SMD 10POS 1.27MM"
"CN1001","XT30","TopLayer","XT30","12.0417","102.0021","0","XT30 CONNECTOR"
"C8021","GRT188C81C475KE13D","TopLayer","CAP0603","83.9421","56.6897","180","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C8020","GCM1555C1H120JA16D","TopLayer","CAP0402","83.6253","37.0943","225","CAP CER 12PF 50V C0G/NP0 0402"
"C8019","GCM1555C1H120JA16D","TopLayer","CAP0402","79.7511","37.2841","315","CAP CER 12PF 50V C0G/NP0 0402"
"C8018","C1206C102KGRACAUTO","TopLayer","CAP1206","96.0833","55.0387","180","CAP CER 1000PF 2KV X7R 1206"
"C8017","GRM21BZ71C106KE15L","BottomLayer","CAP0805","86.9593","50.6699","0","CAP CER 10UF 16V X7R 0805"
"C8016","0402YC104KAT2A","BottomLayer","CAP0402","86.3043","49.1459","0","CAP CER 0.1UF 16V X7R 0402"
"C8015","0402YC104KAT2A","BottomLayer","CAP0402","86.2463","46.4789","0","CAP CER 0.1UF 16V X7R 0402"
"C8014","GRM21BZ71C106KE15L","BottomLayer","CAP0805","78.9383","45.6789","90","CAP CER 10UF 16V X7R 0805"
"C8013","0402YC104KAT2A","BottomLayer","CAP0402","80.3353","45.0239","90","CAP CER 0.1UF 16V X7R 0402"
"C8012","GRM21BZ71C106KE15L","BottomLayer","CAP0805","83.0023","49.8825","270","CAP CER 10UF 16V X7R 0805"
"C8011","0402YC104KAT2A","BottomLayer","CAP0402","77.5413","45.0239","90","CAP CER 0.1UF 16V X7R 0402"
"C8010","0402YC104KAT2A","BottomLayer","CAP0402","75.7053","47.8759","0","CAP CER 0.1UF 16V X7R 0402"
"C8009","0402YC104KAT2A","BottomLayer","CAP0402","77.2873","50.4159","270","CAP CER 0.1UF 16V X7R 0402"
"C8008","0402YC104KAT2A","BottomLayer","CAP0402","75.7053","49.9079","0","CAP CER 0.1UF 16V X7R 0402"
"C8007","0402YC104KAT2A","BottomLayer","CAP0402","79.8273","50.2889","270","CAP CER 0.1UF 16V X7R 0402"
"C8006","GRM21BZ71C106KE15L","TopLayer","CAP0805","86.7869","52.1431","0","CAP CER 10UF 16V X7R 0805"
"C8005","0402YC104KAT2A","TopLayer","CAP0402","86.0757","50.6953","0","CAP CER 0.1UF 16V X7R 0402"
"C8004","0402YC104KAT2A","TopLayer","CAP0402","84.7549","43.9643","270","CAP CER 0.1UF 16V X7R 0402"
"C8003","GRM21BZ71C106KE15L","TopLayer","CAP0805","81.5037","56.4357","90","CAP CER 10UF 16V X7R 0805"
"C8002","0402YC104KAT2A","TopLayer","CAP0402","80.8179","53.4965","90","CAP CER 0.1UF 16V X7R 0402"
"C8001","0402YC104KAT2A","TopLayer","CAP0402","78.0493","41.5585","270","CAP CER 0.1UF 16V X7R 0402"
"C8000","0402YC104KAT2A","BottomLayer","CAP0402","75.7379","45.9201","0","CAP CER 0.1UF 16V X7R 0402"
"C7026","CL05X105KP5NNNC","BottomLayer","CAP0402","40.3375","30.2991","0","CAP CER 1UF 10V X6S 0402"
"C7025","0402YC104KAT2A","BottomLayer","CAP0402","37.4855","28.3941","180","CAP CER 0.1UF 16V X7R 0402"
"C7024","0402YC104KAT2A","TopLayer","CAP0402","39.4739","97.0503","180","CAP CER 0.1UF 16V X7R 0402"
"C7023","CL05X105KP5NNNC","TopLayer","CAP0402","39.5247","101.2159","180","CAP CER 1UF 10V X6S 0402"
"C7022","CL31B106KOHVPNE","BottomLayer","CAP1206","31.3641","103.8575","90","CAP CER 10uF 16V 10% X7R 1206 SMD"
"C7021","0402YC104KAT2A","TopLayer","CAP0402","25.1665","37.8683","180","CAP CER 0.1UF 16V X7R 0402"
"C7020","GRT188C81C475KE13D","TopLayer","CAP0603","24.6585","39.1383","180","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C7019","CL05X105KP5NNNC","TopLayer","CAP0402","71.4991","34.0918","270","CAP CER 1UF 10V X6S 0402"
"C6060","GRM21BR61E226ME44K","BottomLayer","CAP0805","65.7407","59.0823","180","CAP CER 22uF 25V 20% X5R 0805 SMD"
"C6059","0402YC104KAT2A","BottomLayer","CAP0402","65.5883","60.9801","90","CAP CER 0.1UF 16V X7R 0402"
"C6058","0402YC104KAT2A","BottomLayer","CAP0402","66.9599","60.9547","90","CAP CER 0.1UF 16V X7R 0402"
"C6057","GRM21BR61E226ME44K","TopLayer","CAP0805","67.7877","53.0575","270","CAP CER 22uF 25V 20% X5R 0805 SMD"
"C6056","0402YC104KAT2A","TopLayer","CAP0402","67.0511","56.9437","270","CAP CER 0.1UF 16V X7R 0402"
"C6055","0402YC104KAT2A","TopLayer","CAP0402","65.3597","56.9559","270","CAP CER 0.1UF 16V X7R 0402"
"C6054","CL05B104KB54PNC","BottomLayer","CAP0402","53.1065","87.2967","90","CAP CER 100nF 50V X7R 0402"
"C6053","CL05B104KB54PNC","BottomLayer","CAP0402","52.0397","87.2967","90","CAP CER 100nF 50V X7R 0402"
"C6052","CL05B104KB54PNC","BottomLayer","CAP0402","58.3643","87.2967","90","CAP CER 100nF 50V X7R 0402"
"C6051","CL05B104KB54PNC","BottomLayer","CAP0402","59.3803","87.2967","90","CAP CER 100nF 50V X7R 0402"
"C6050","GRM21BR61E226ME44K","BottomLayer","CAP0805","61.3615","56.4865","270","CAP CER 22uF 25V 20% X5R 0805 SMD"
"C6049","0402YC104KAT2A","BottomLayer","CAP0402","68.0267","60.9619","90","CAP CER 0.1UF 16V X7R 0402"
"C6048","0402YC104KAT2A","BottomLayer","CAP0402","62.5657","60.9111","0","CAP CER 0.1UF 16V X7R 0402"
"C6047","0402YC104KAT2A","BottomLayer","CAP0402","69.5325","63.9591","180","CAP CER 0.1UF 16V X7R 0402"
"C6046","0402YC104KAT2A","BottomLayer","CAP0402","58.8319","64.2131","180","CAP CER 0.1UF 16V X7R 0402"
"C6045","0402YC104KAT2A","BottomLayer","CAP0402","62.5657","62.0033","0","CAP CER 0.1UF 16V X7R 0402"
